benchmark,dataset,strategy,threads,is_parallel,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency_pct,verified,max_error,allocations
2mm,LARGE,sequential,4,false,2619.4414,2622.1177,2621.7522,1.4911,1.26,1.00,,PASS,0.00e+00,0
2mm,LARGE,threads_static,4,true,724.0566,725.5781,725.2669,0.6934,4.58,3.62,90.44,PASS,0.00e+00,0
2mm,LARGE,threads_dynamic,4,true,746.6282,748.2228,750.3134,6.3504,4.44,3.51,87.71,PASS,0.00e+00,0
2mm,LARGE,tiled,4,true,321.6096,321.6940,322.2532,0.7946,10.30,8.14,203.62,PASS,4.43e-15,0
2mm,LARGE,simd,4,false,1470.9614,1471.4677,1471.4761,0.3999,2.25,1.78,,PASS,4.59e-15,0
2mm,LARGE,tasks,4,true,746.3736,748.5145,748.1553,0.9439,4.44,3.51,87.74,PASS,0.00e+00,0
2mm,LARGE,collapsed,4,true,725.1236,725.6888,725.8616,0.7851,4.57,3.61,90.31,PASS,0.00e+00,0
