benchmark,dataset,strategy,threads,is_parallel,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency_pct,verified,max_error,allocations
2mm,EXTRALARGE,sequential,2,false,38698.5359,38812.7250,38811.1392,78.1401,0.68,1.00,,PASS,0.00e+00,0
2mm,EXTRALARGE,threads_static,2,true,18997.4145,19077.2866,19061.6010,36.0223,1.39,2.04,101.85,PASS,0.00e+00,0
2mm,EXTRALARGE,threads_dynamic,2,true,19076.6224,19079.2116,19079.9226,3.0107,1.39,2.03,101.43,PASS,0.00e+00,0
2mm,EXTRALARGE,tiled,2,true,4892.4239,4894.5304,4894.6939,2.4270,5.42,7.91,395.49,PASS,6.69e-15,0
2mm,EXTRALARGE,simd,2,false,33665.2062,33902.6779,33855.0275,106.2223,0.79,1.15,,PASS,7.43e-15,0
2mm,EXTRALARGE,tasks,2,true,18994.2279,19071.2181,19057.6150,35.6066,1.40,2.04,101.87,PASS,0.00e+00,0
2mm,EXTRALARGE,collapsed,2,true,19077.8712,19078.9081,19079.5010,1.5191,1.39,2.03,101.42,PASS,0.00e+00,0
