benchmark,dataset,strategy,threads,is_parallel,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency_pct,verified,max_error,allocations
2mm,EXTRALARGE,sequential,16,false,38707.4801,38816.0804,38791.0452,50.6035,0.68,1.00,,PASS,0.00e+00,0
2mm,EXTRALARGE,threads_static,16,true,2783.5205,2807.2428,2801.0769,15.3497,9.52,13.91,86.91,PASS,0.00e+00,0
2mm,EXTRALARGE,threads_dynamic,16,true,2949.0094,2958.1858,2956.1666,5.2513,8.99,13.13,82.03,PASS,0.00e+00,0
2mm,EXTRALARGE,tiled,16,true,750.2197,757.4828,754.9881,4.1669,35.32,51.59,322.47,PASS,6.69e-15,0
2mm,EXTRALARGE,simd,16,false,33875.6303,35665.2055,35572.5312,1107.3913,0.78,1.14,,PASS,7.43e-15,0
2mm,EXTRALARGE,tasks,16,true,2766.5832,2775.7023,2778.0419,10.0591,9.58,13.99,87.44,PASS,0.00e+00,0
2mm,EXTRALARGE,collapsed,16,true,2699.9111,2708.6330,2718.4218,29.0162,9.82,14.34,89.60,PASS,0.00e+00,0
