benchmark,dataset,strategy,threads,is_parallel,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency_pct,verified,max_error,allocations
2mm,EXTRALARGE,sequential,4,false,38291.8059,38519.6702,38435.0513,116.9702,0.69,1.00,,PASS,0.00e+00,0
2mm,EXTRALARGE,threads_static,4,true,9317.4657,9563.9916,9497.4900,108.3166,2.84,4.11,102.74,PASS,0.00e+00,0
2mm,EXTRALARGE,threads_dynamic,4,true,9310.0808,9561.9982,9508.0043,112.1474,2.85,4.11,102.82,PASS,0.00e+00,0
2mm,EXTRALARGE,tiled,4,true,2611.3547,2699.7326,2680.8439,39.3368,10.15,14.66,366.59,PASS,6.69e-15,0
2mm,EXTRALARGE,simd,4,false,33877.3999,33883.6829,33883.0568,4.3321,0.78,1.13,,PASS,7.43e-15,0
2mm,EXTRALARGE,tasks,4,true,9240.7828,9334.8903,9395.7581,151.0980,2.87,4.14,103.59,PASS,0.00e+00,0
2mm,EXTRALARGE,collapsed,4,true,9304.8420,9316.6646,9393.9434,121.1864,2.85,4.12,102.88,PASS,0.00e+00,0
