benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
cholesky,EXTRALARGE,sequential,8,43851.203,43890.557,43888.475,36.276,0.49,1.00,,PASS
cholesky,EXTRALARGE,simd,8,43581.657,43704.252,43695.049,109.082,0.49,1.01,,PASS
cholesky,EXTRALARGE,threads,8,4898.897,4901.386,4902.757,4.699,4.35,8.95,111.9,PASS
cholesky,EXTRALARGE,blas,8,540.802,540.832,540.881,0.112,39.45,81.09,,PASS
cholesky,EXTRALARGE,tiled,8,56832.689,56952.914,56926.345,83.600,0.38,0.77,,PASS
