benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
3mm,EXTRALARGE,sequential,2,58097.414,58099.273,58098.808,1.229,0.74,1.00,,PASS
3mm,EXTRALARGE,threads_static,2,27627.979,27632.070,27634.422,7.887,1.56,2.10,105.1,PASS
3mm,EXTRALARGE,threads_dynamic,2,27652.361,27658.559,27658.839,6.622,1.56,2.10,105.0,PASS
3mm,EXTRALARGE,tiled,2,15192.583,15194.278,15195.112,3.033,2.84,3.82,191.2,PASS
3mm,EXTRALARGE,blas,2,975.347,975.587,975.619,0.289,44.29,59.57,,PASS
3mm,EXTRALARGE,tasks,2,28048.581,28092.863,28078.912,26.296,1.54,2.07,103.6,PASS
