benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
2mm,EXTRALARGE,sequential,8,36738.640,36775.280,36770.312,29.504,0.72,1.00,,PASS
2mm,EXTRALARGE,threads_static,8,6037.883,6078.491,6065.835,24.243,4.39,6.08,76.1,PASS
2mm,EXTRALARGE,threads_dynamic,8,6051.662,6056.758,6055.560,3.458,4.38,6.07,75.9,PASS
2mm,EXTRALARGE,tiled,8,3227.062,3227.589,3228.175,1.495,8.21,11.38,142.3,PASS
2mm,EXTRALARGE,blas,8,608.022,608.902,608.613,0.512,43.58,60.42,,PASS
2mm,EXTRALARGE,tasks,8,6044.958,6080.843,6069.352,21.138,4.38,6.08,76.0,PASS
