benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
nussinov,LARGE,sequential,8,3278.282,3328.854,3346.480,54.454,0.79,1.00,,PASS
nussinov,LARGE,simd,8,3628.900,3814.589,3802.897,124.362,0.72,0.90,,PASS
nussinov,LARGE,wavefront,8,541.271,572.894,571.251,13.118,4.81,6.06,75.7,PASS
nussinov,LARGE,tiled,8,595.558,614.214,612.918,11.121,4.37,5.50,68.8,PASS
