benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
2mm,EXTRALARGE,sequential,16,36601.390,36835.583,36757.630,135.308,0.72,1.00,,PASS
2mm,EXTRALARGE,threads_static,16,3184.021,3260.339,3245.261,55.266,8.32,11.50,71.8,PASS
2mm,EXTRALARGE,threads_dynamic,16,3275.582,3283.101,3280.821,4.549,8.09,11.17,69.8,PASS
2mm,EXTRALARGE,tiled,16,1986.246,1991.922,1991.099,4.498,13.34,18.43,115.2,PASS
2mm,EXTRALARGE,blas,16,624.945,626.336,625.950,0.878,42.40,58.57,,PASS
2mm,EXTRALARGE,tasks,16,3274.703,3301.342,3297.643,21.332,8.09,11.18,69.9,PASS
