benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
3mm,EXTRALARGE,sequential,4,57977.798,57998.428,58000.166,23.286,0.75,1.00,,PASS
3mm,EXTRALARGE,threads_static,4,13246.153,13500.239,13418.752,149.553,3.26,4.38,109.4,PASS
3mm,EXTRALARGE,threads_dynamic,4,13329.482,13353.673,13423.327,142.110,3.24,4.35,108.7,PASS
3mm,EXTRALARGE,tiled,4,8334.268,8349.962,8345.483,9.778,5.18,6.96,173.9,PASS
3mm,EXTRALARGE,blas,4,990.904,990.932,991.041,0.214,43.60,58.51,,PASS
3mm,EXTRALARGE,tasks,4,14702.538,14799.736,14768.116,56.804,2.94,3.94,98.6,PASS
