benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
3mm,EXTRALARGE,sequential,16,57664.861,57798.823,57756.128,79.093,0.75,1.00,,PASS
3mm,EXTRALARGE,threads_static,16,3857.661,3926.862,4032.372,245.133,11.20,14.95,93.4,PASS
3mm,EXTRALARGE,threads_dynamic,16,3905.264,3910.723,3910.695,5.417,11.06,14.77,92.3,PASS
3mm,EXTRALARGE,tiled,16,2706.723,2715.354,2714.107,6.847,15.96,21.30,133.2,PASS
3mm,EXTRALARGE,blas,16,1006.892,1007.713,1007.539,0.580,42.90,57.27,,PASS
3mm,EXTRALARGE,tasks,16,4132.979,4233.932,4317.408,237.439,10.45,13.95,87.2,PASS
