benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
2mm,EXTRALARGE,sequential,4,36026.237,36028.080,36029.375,3.948,0.74,1.00,,PASS
2mm,EXTRALARGE,threads_static,4,11629.795,11856.104,11866.019,241.335,2.28,3.10,77.4,PASS
2mm,EXTRALARGE,threads_dynamic,4,11613.009,11833.984,12039.771,558.834,2.28,3.10,77.6,PASS
2mm,EXTRALARGE,tiled,4,5841.341,5845.458,5847.429,7.276,4.54,6.17,154.2,PASS
2mm,EXTRALARGE,blas,4,613.734,613.748,613.821,0.139,43.18,58.70,,PASS
2mm,EXTRALARGE,tasks,4,11453.999,11531.382,11632.025,244.416,2.31,3.15,78.6,PASS
