benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
cholesky,EXTRALARGE,sequential,8,44108.921,44135.808,44182.045,104.240,0.48,1.00,,PASS
cholesky,EXTRALARGE,simd,8,43889.544,43891.380,43891.700,2.333,0.49,1.00,,PASS
cholesky,EXTRALARGE,threads,8,4859.214,4994.873,5023.691,180.618,4.39,9.08,113.5,PASS
cholesky,EXTRALARGE,blas,8,540.825,540.843,540.879,0.078,39.45,81.56,,PASS
cholesky,EXTRALARGE,tiled,8,57188.655,57238.352,57237.288,48.110,0.37,0.77,,PASS
